title,review,name,rating
It started off fantastic...,"No one, not even Matt Groening himself, could've imagined that The Simpsons would become as big as it did. Nor could anyone anticipate it could become so cultural. ""D'oh"" is in the dictionary, and it has spawned off several catch-phrases and one liners. Truly, The Simpsons is the biggest thing since Seinfeld! The first three seasons showed them as if they were an actual family. Like the kind of family you'd meet on the street (only a lot more dysfunctional). Homer trying to do the fatherly thing in each episode. Marge being the voice of reason all the time. Lisa and Bart with their sibling rivalry. These first three seasons are not usually sighted as being the best, but they are often brought up when one speaks of ""The Best Episode Ever!"" By Season four, the show took a turn for what may have been the best. It left it's more realistic roots and became more of a satire. With more zany antics and more clever, witty, and often times sophisticated humor, The Simpsons became the most popular family on television. Each episode still contained it's own merits, themes and messages. Seasons 4 to about 10 are often said to be the ""Golden Age"" of The Simpsons.,However, as the year 2000 came, fans began to see themselves divided. Those who stuck with the show since it came about in 1989 were quick to jump on how the show changed. The humor became more lurid and toilet like, with antics becoming heavily more unrealistic and zany (to the point where some even say it isn't funny... but stupid). Some characters becoming unrealistically stupid, and the show shifting gears from focusing on Bart to Homer... to everyone outside of the Simpson family. The show also began to see more cumbersome and meaningless plots. Plots that didn't focus on current issues, or that didn't seem to be as strong as older episodes. Despite this, new fans seem to have come about to replace then, and the show continues to remain at the top of its game, even today.,I'm sure you all know where I stand on that debate. Nine stars to nine fantastic seasons.",The Simpsons,9
This Show Will Be Used to Study How Life Was 100 Years From Now,"Brilliant television series that could probably be best described as ""The Flintstones"" gone stark-raving mad. ""The Simpsons"", everyone knows them. Some love the series and some could care less about it. Love it or hate it, it is near impossible to criticize the intelligence and creativity of this series. The titled animated family makes their home in Springfield, USA and gets into situations that are seemingly more outlandish and crazier than the previous adventure. Homer, Marge, Bart, Lisa, and Maggie are still going strong after nearly a dozen years of television life and with each passing moment it seems that the series sets some new precedent. For several years the show seemed to be the only attraction to the then obscure Fox Network. It was the first primetime animated show that was treated like a sitcom since ""The Flintstones"" quietly left the air in 1966. Many people feared the series when it first premiered in 1989 because they felt that it was hardcore adult material in a candied form that would appeal to younger audiences. Well for the most part this was true. However, ""The Simpsons"" would prove to be much more for all audiences. The great thing about the series is that it caters to all audiences. True there are usually situations that may not be suitable for all viewers, but then again that is true with everything on television this side of Disney Land and Sesame Street. ""The Simpsons"" works because of great comedy of course, but also great lessons that can be taken from most of the episodes. The people within the program may be animated, but they are just as complicated and vulnerable as the people watching them. All the regulars have their quirks, but in some episodes you can understand what certain characters are going through because the show is so life-like at times. Former President George Bush (the one from 1988-1992) once made a statement that families should be more like ""The Waltons"" and less like ""The Simpsons"". His opinion is somewhat old-fashioned and unrealistic. In other words, many topics dealt with in ""The Simpsons"" fit life for people in the 1990s and 2000s better than ""The Waltons"" did in the 1970s. A crowning achievement in television art. 5 stars out of 5.",The Simpsons,
The greatest television show of all time,"What more can I possibly say about a TV show that has already been praised to death?  I was 15 when the Simpsons first aired and I'm 25 now.  I've seen every single episode, and I'd have to say it's a rare combination of factors that come together to make The Simpsons the best show ever.,It's a very clever and intelligent show - they never dumb anything down - and as creator Matt Groening has remarked, ""The Simpsons is a show that rewards paying attention.""  There are always enough obscure pop-culture references or subtle background gags to ensure that the second, third, or tenth viewing of an episode will find you noticing something you hadn't before.,In the early days of The Simpsons, they derived a large part of their popularity from the everyday, down-to-earth, unglamorous, average-blue-collar-slob aspect of the Simpson family.  Homer is lazy and doesn't like his job, Bart doesn't excel at school, the plastic ketchup bottle they use at the dinner table makes that farting sound, and so on. This aspect of the program contrasts it with popular 80's family sitcoms such as The Cosby Show which always featured impossibly well-functioning families who got along a little too perfectly and usually learned a neat little lesson at the end of each episode.  An early tag-line for The Simpsons said that they ""put the Fun back in Dysfunctional."",Perhaps this blue-collar-slobness by itself is nothing shockingly original - think of previous TV shows such as Roseanne, Married with Children, All in the Family, The Honeymooners - but the Simpsons doesn't stop there.  This show is extremely densely packed with jokes - everything from cerebral witticisms and sly satire to Homer falling down and going ""D'oh!""  Because it's a cartoon, the writers can get away with surreal gags such as the time Homer tells a joke which falls flat, after which a long silence happens which is punctuated by a single tumbleweed rolling through the Simpson's living room.,There are just too many things to mention about The Simpsons.  It can be touching occasionally; more often the viewers are treated to an unequalled cavalcade of obscure references, surreal sight gags, wacky adventures, self-mocking irony...   The list goes on and on.  Just watch it, else you're missing out on one of the most important elements of 1990's popular culture.",The Simpsons,
Probably the best television show on Earth,"The Simpsons is the longest running animated TV series since The Flinstones, and you could understand why after watching just one of the Simpsons episodes. Simply because The Simpsons is just so hilarious and incredibly clever and has been ripped off so many times, but nothing has come close to the brilliance that the Simpsons writers have brought us.,We have Homer Simpson, one of the most beloved TV characters of all time, with his famous quote ""Doh!"". He's an overweight, lazy, and not the brightest bulb, but so incredibly lovable for the fact of how bipolar he is! One minute he can be so incredibly depressed, but the next minute really happy and giggling. My favorite Homer quote is when he kills the zombie Ned Flanders in a Halloween episode, Bart tells him ""Dad! You killed the zombie Flanders!""... ""He was a zombie?"" Marge is Homer's wife and a homemaker. She is at times naggy, but always manages to get in some terrific humor and some deep sympathy with all she puts up with. My favorite Marge quote is ""Bart, don't make fun of grad students. They've just made a terrible life choice."" Bart is the oldest son and a rebel. His usual quotes are ""Don't have a cow"" ""Cool, man!"" ""Ei Carumba!"". He's this generation's Dennis the Menace. My favorite Bart quote is ""I need a soul, Ralph, any, your's!"", you'll see what I mean.,Lisa is the second oldest and the smartie pants of the Simpson clan, she's kind of the know it all who solves all the adventures of the Simpsons. My favorite Lisa quote is ""They're only using you for your pool you know... shut up brain! I have friends now, I don't need you any more!"". Last, but not least, Maggie, the eternal baby of Homer and Marge, always a great love of the screen, but no famous quotes, just memorable moments like when she turns into an alien.,The supporting cast is a terrific addition, my favorites include Mr. Burns, Homer's boss, Groundskeeper Willy, the school janitor, and Mr. Skinner, the school principal. The Simpson is just a terrific show that in one way or another you will see at least one episode in your lifetime. I know that generations to come, they will still be watching The Simpsons.",The Simpsons,
May be suffering a bit with time  but overall this is one of the finest show to come out of America,"The series that follows the dysfunctional family of the Simpsons.  The oafish Homer who can barely go a day without slacking or getting mixed up in crazy adventures. His wife, Marge, who tries to hold it all together.  His duaghter Lisa who is smarter that her gene pool should allow, Bart  every inch the classroom rebel.  The family is rounded out by the youngest  baby Maggie.  The family interact with those around them and learn lessons or sometimes fail to change completely.,When this series started in 1987 as a string of rough shorts in Tracey Ulman's show it would be a brave man who would have predicted that over a decade later that this series would be as huge as it is.  However the series got launched with the Christmas special in the early 90's.  The first series saw the animation greatly improved and the characters developed fully to be more involving.  However the story lines were not as sharp or as full as they were to be.  The second series and onwards saw the Simpsons have better stories  often multi-layered stories filled with pop-culture references and background jokes that reward the careful viewerto try and list them would take ages.,For an American sitcom (for that is what it is) this is amazing  the intelligence of the script is fantastic.  The depth of the stories are involving, witty and packed.  For a movie buff like me, this is a gold mine  from sly references in the background to full blow scenes almost spoofing movies this has them all. In some programmes that have background jokes the main stuff at the front often suffers or is ignored totally.  However here the main plot and dialogue is fresh and well thought out  it is amazing that for almost all of it's run The Simpsons rarely had a bad episode.,True  recent shows have begun to show a slide in quality but this is to be expected after more than 10 years at the top.  However it is generally brilliant and clever.  After the first series everything improved.  Not only was the series used for political comment, satire and ironic humour (in a country that generally can't do any well) but it is also heart warming and funny.,The characters live in a balance between reality and surreality.  They are sort of recognisable as real people in terms of habits and experiences  but in another way they are out there..Homer has been in Space, stopped a nuclear explosion etc.  The mix of this makes for an unique programme.  What makes it better is that the makers never draw a line between the madness and the normality  one episode is made up of a bad-neighbour type war between Homer and George Bush Snr!  The mix is seamless and adds layers to each show.,The wealth of characters is another strength. The main family is strong  even Maggie has regular input and adventures!  However where most sitcoms really rely on their main subjects for the stories, The Simpsons has a supporting cast of dozens and dozens of really good characters  all of whom are able to carry an episode.  They range from the normal characters (an inept  Police Chief, an Asian shop keeper who is used to being robbed at gunpoint) to the referential or well imagined, (the well-educated Sideshow Mel, a bitter Krusty the Clown, an useless lawyer).  All the characters have become more fully used as time has gone on.,The voice actors are all excellent and all do a huge range of voicesof course they get very well paid for it!  Unfortunately the late Phil Hartman provided the voices of two of my favourite characters and I really miss his dry humour and strong all-American voice.  Lionel Hutz was a great character and my favourite, Troy McClure is a wonderful spoof of 60's B-movie actor Doug McClure.  This depth really helps the show and has allowed it to feel so very fresh years on.,I could go on for ever, but the series is a wonderful bit of proof that sitcoms don't have to be simple, full of canned laughter and focus on sassy teenagers!  The joys of the dialogue are backed up by movie references and crazy adventures.  The wonderful Simpson family are supported by a huge cast of imaginative characters who are always well used and a queue of celebrities just lining up to have a few minutes in the show. Quite simply this is consistently the best show to come out of American in my life time.",The Simpsons,
A landmark in TV-show history,"i have yet to see something as funny, clever and entertaining as ""The Simpsons"" on TV. I'm hardly a TV-series buff, I rarely have the patience and interest to follow a show for more than five or six episodes. ""The Simpsons"" is the one show that I am very sorry to have missed out on until just a couple of years ago. Luckily, Swedish television are rerun experts. It is also the only show that I make sure to follow apart from perhaps ""Friends"", but in entertainment value, ""The Simpsons"" is way ahead.,What makes this show so great is its attention to detail, its outrageous dialogue and its completely fearless way of dealing with any issue that crosses the writers' minds. The many characters and their extravaganza makes it an endless well of new angles, new ideas and even more outrageous dialogues. Another very important element is the mocking irony and sarcasm which permeates the entire series. The smarmy and cheesy moments that a great many episodes end up in are extremely clever and becomes an important part of the fun.,What impresses me the most about the series is, however, the enormous amount of detail: the attentive spectator is not just in for the obvious gags - there's always something going on or something to read in the background, which makes a VCR mandatory so you can go back and check that special detail out again. Its a fantastic show, and its a great moment when one can sit down and watch another insane, stupid, disastrous and hilarious episode.",The Simpsons,
Pure genius,"The Simpsons is a show that has sustained ten years of constant humor.  The stories have gradually become better and the second fiddle characters were getting more screen time which translates into a much more realized show. The pop culture references abound and delight those who can pick them out. My personal favorite is the Citizen Kane references in the episode called ""Rosebud.""  Plus, anything with C. Montgomery Burns is hysterical.  The guest stars aren't there as a ""special appearance"" touted by the networks. They actually work into the storyline, and that makes it all the more enjoyable.  Where else can you see The Moody Blues acting like thugs in a Vegas casino?",The Simpsons,
Talk about being a mere shadow of its former self......,"The Simpsons, back in the early to mid 90's, was by far the greatest sitcom ever on TV. With strong jokes, humorous parodies, funny slapstick and wonderful plots it swept the nation by storm. For those who don't know, the Simpsons is about an American family called the Simpsons (hence the title) who live in the fictional town of Springfield. The father, Homer, is a beer bellied not so smart guy who works in the local nuclear power plant. His wife, Marge is a doting housewife and mother, and they have three kids, Bart, Lisa, and Maggie. This show, back over a decade ago, stood out for two reasons. One, it was an animated sitcom (which was based mostly on reality, fantasy elements shown in typical cartoons appeared briefly) and two, the Simpsons was a dysfunctional family, except the volume was turned way up. Back in the 90's sitcoms involved families who were a strong unit and cared for each other and all that stuff, but the Simpsons were constantly having problems and such, always getting back together in the end, which was the theme of the show and what kept it on top. The prime of the show would be, in my opinion, around 1993-1997 (or the third through the sixth season,) After that, the show began to lose humorous edge, and by the early 2000 period, the show really began to fall apart. It is now 2006, and with even worse episodes being churned out, the show probably should of called it quits by 97 or 98 when it showed signs of age.,So what happened? The show is clearly different now then it was ten years ago but there seems to be a lot of little things that made the show go south. I noticed by the 11 or 12th season, the show started to include very ridiculous and crazy plots that would never happen in real life (and every celebrity on the planet would start to appear in every episode, one by one) Now before anybody flames me and says ""It's a cartoon dumbass!"" (I couldn't figure that out, thanks guys!) It is important to understand that in the prime of the show it had plots that were realistic, things that normal people could go through every day (Maybe it would go outside the barriers of reality, but only briefly) You could relate to the characters, and actually cared what happened to them. By the way, celebrates did appear in the past, but they were usually cameos or voiced characters, rather then playing themselves like now. But now that the plots and ideas are so nuts that I don't really care what the resolution will turn out to be. And now the celebrity guest will have a whole episode involving him, which really makes the show boring in my opinion. Another problem with the show is that the jokes simply aren't as funny or interesting anymore, and that is what really is hurting the show. The writers try hard to be funny, but fail miserably. But I believe the number one problem is the new personalities of the characters.,Homer, back in the prime of the sitcom, was at times a big jerk who sometimes did things to advantage himself and hurt others, but in the end, he always did the right thing at the conclusion and he was a good guy overall. And although he wasn't a very bright man (His stupidity is one of the highlights of the show) He only had moments when he was a complete dumbass. But now the writers dummed down homer to look like a total retard, he has also evolved to be an unbearable jackass with no redeeming qualities whatsoever (and it seems like now he is spending every minute of every episode doing something incredibly stupid beyond sanity.) Bart used to be a mischievous kid who did get into trouble on occasion, but always knew his limits and acted like a typical ten year old kid. Now, he's more of a whiny brat who tries really hard to be a tough criminal. He also tries to act tough by bullying his nerdy friend Milhouse, whom in earlier seasons, had a good friendship with Bart and he saw Milhouse as an equal and not his flunkie like today. Lisa was a very smart eight year old who had strong beliefs over issues but really tried to live a normal life as an eight year old, but now is a intolerant PC hippie who believes her views are superior to anyone elses. And Marge, well, shes still the housewife, but she seems to care less nowadays and will sometimes try way to hard to be ""cool"" and ""hip"" but always failing to be funny. Maggie is the one who changed the least, but shes only one year old, so you can't expect much. The side characters (Moe, Mr. Flanders, etc) also seemed to change as well, though for the worse.,Finally, the Simpsons was the greatest sitcom back in the heyday, but now is crumbling like a wall. I stopped watching the show a few years ago because I just couldn't take the declining quality anymore. The bad plots, poor jokes and repackaged personalities of the characters are beginning to cause the show's decay. I won't dismiss the show's past accomplishments, but the new episodes are downright unbearable. I recommend the show, but get the seasons three to six, you'll laugh out loud. The first two seasons are good, but didn't get that edge just yet. Anything later then 1997 I wouldn't watch, but like a wise man said, ""Opinions are like assholes, everybody has one"" So see it for yourself and make up your own judgment.",The Simpsons,
This may be the best show on Television.,"This is definitely the best ANIMATED show on television. I have been a Simpsons fan for a long time, and over the years it has been going downhill, but recently its been really funny! I think that this is best for people who LOVE SEEING GREAT COMEDY AT WORK! Matt Groening is one of the funniest TV people ever (though I should be fair, a lot of the Simpsons is the writers, if not most of it). For those who don't know, it's about a dysfunctional family living in a town called Springfield (the state is unknown!!!!). There's Homer, the dimwitted father working at the Nuclear Powerplant. Then there's Marge, the housewife who is the classic mom. There's Bart, the spiky haired hell-raiser who has a knack for getting in trouble. There's Lisa, the intellectual middle child who plays the Saxaphone and is the smartest one in the family. Then finally there's Maggie, the baby that only talks in sucks on her pacifier. All in all, each episode includes their many misadventures including a meteor hitting the earth, and Homer causing Y2K. Bottom line, totally funny!",The Simpsons,10
It doesn't try to be anything that it isn't. And that's kinda the point.,"You're going to see a lot of reviews on here say that it's predictable, silly, probably a few other criticisms that are perfectly fair. But this movie knows what it is, and the authenticity makes it enjoyable. It has a genuinely sweet romance, great comedic moments, and good messages. It's a silly romcom with a lot of charm and heart, and it's worth a couple hours of your time. Give it a chance.",I Feel Pretty,8
